question,answer,source,focus_area
What is (are) High Blood Pressure ?,"High blood pressure is a common disease in which blood flows through blood vessels (arteries) at higher than normal pressures. What Is Blood Pressure? Blood pressure is the force of blood pushing against the walls of the blood vessels as the heart pumps blood. If your blood pressure rises and stays high over time, its called high blood pressure. High blood pressure is dangerous because it makes the heart work too hard, and the high force of the blood flow can harm arteries and organs such as the heart, kidneys, brain, and eyes. Types of High Blood Pressure There are two main types of high blood pressure: primary and secondary high blood pressure. - Primary, or essential, high blood pressure is the most common type of high blood pressure. This type of high blood pressure tends to develop over years as a person ages.   - Secondary high blood pressure is caused by another medical condition or use of certain medicines. This type usually resolves after the cause is treated or removed. Primary, or essential, high blood pressure is the most common type of high blood pressure. This type of high blood pressure tends to develop over years as a person ages. Secondary high blood pressure is caused by another medical condition or use of certain medicines. This type usually resolves after the cause is treated or removed. Measuring Blood Pressure Blood pressure is always given as two numbers, the systolic and diastolic pressures. Both are important. - Systolic Pressure  is the pressure of blood against the artery walls when the heart beats.  -  Diastolic Pressure is the pressure of blood against the artery walls when the heart is at rest between beats. Systolic Pressure  is the pressure of blood against the artery walls when the heart beats.  Diastolic Pressure is the pressure of blood against the artery walls when the heart is at rest between beats. Usually these numbers are written one above or before the other -- for example, 120/80 mmHg. The top, or first, number is the systolic and the bottom, or second number, is the diastolic. If your blood pressure is 120/80, you say that it is ""120 over 80."" Normal Blood Pressure Normal blood pressure for adults is defined as a systolic pressure below 120 mmHg and a diastolic pressure below 80 mmHg. It is normal for blood pressures to change when you sleep, wake up, or are excited or nervous. When you are active, it is normal for your blood pressure to increase. However, once the activity stops, your blood pressure returns to your normal baseline range. Blood pressure normally rises with age and body size. Newborn babies often have very low blood pressure numbers that are considered normal for babies, while older teens have numbers similar to adults. Abnormal Blood Pressure Abnormal blood pressure is higher than 120/80 mmHg. If either your systolic or diastolic blood pressure is higher than normal (120/80) but not high enough to be considered high blood pressure (140/90), you have pre-hypertension. Pre-hypertension is a top number between 120 and 139 or a bottom number between 80 and 89 mmHg. For example, blood pressure readings of 138/82, 128/70, or 115/86 are all in the ""pre-hypertension"" range. (Click the table on the right to see the stages of high blood pressure in adults.) A systolic blood pressure of 140 mmHg or higher, or a diastolic blood pressure of 90 mmHg or higher, is considered high blood pressure, or hypertension. Hypertension is the medical term for high blood pressure. If you have diabetes or chronic kidney disease, your recommended blood pressure levels are a systolic blood pressure of 130 mmHg or lower, and a diastolic blood pressure of 80 mmHg or lower. Usually Has No Symptoms High blood pressure is often called ""the silent killer"" because it usually has no symptoms. Occasionally, headaches may occur. Some people may not find out they have high blood pressure until they have trouble with their heart, kidneys, or eyes. When high blood pressure is not diagnosed and treated, it can lead to other life-threatening conditions, including heart attack, heart failure, stroke, and kidney failure. It can also lead to vision changes or blindness. Possible Complications Over Time Over time, high blood pressure can cause - your heart to work too hard and become larger or weaker, which can lead to heart failure.   - small bulges (aneurysms) to worsen in your blood vessels. Common locations for aneurysms are the aorta, which is the main artery from the heart; the arteries in your brain, legs, and intestines; and the artery leading to your spleen.  - blood vessels in your kidneys to narrow, which can cause kidney failure.  - blood vessels in your eyes to burst or bleed, which can cause vision changes and can result in blindness.   - arteries throughout your body to ""harden"" faster, especially those in your heart, brain, kidneys, and legs. This can cause a heart attack, stroke, or kidney failure. your heart to work too hard and become larger or weaker, which can lead to heart failure. small bulges (aneurysms) to worsen in your blood vessels. Common locations for aneurysms are the aorta, which is the main artery from the heart; the arteries in your brain, legs, and intestines; and the artery leading to your spleen. blood vessels in your kidneys to narrow, which can cause kidney failure. blood vessels in your eyes to burst or bleed, which can cause vision changes and can result in blindness. arteries throughout your body to ""harden"" faster, especially those in your heart, brain, kidneys, and legs. This can cause a heart attack, stroke, or kidney failure.",NIHSeniorHealth,High Blood Pressure
What causes High Blood Pressure ?,"Changes in Body Functions Researchers continue to study how various changes in normal body functions cause high blood pressure. The key functions affected in high blood pressure include -  kidney fluid and salt balances  -  the renin-angiotensin-aldosterone system   - the sympathetic nervous system activity   - blood vessel structure and function. kidney fluid and salt balances the renin-angiotensin-aldosterone system the sympathetic nervous system activity blood vessel structure and function. Kidney Fluid and Salt Balances The kidneys normally regulate the bodys salt balance by retaining sodium and water and eliminating potassium. Imbalances in this kidney function can expand blood volumes, which can cause high blood pressure. Renin-Angiotensin-Aldosterone System The renin-angiotensin-aldosterone system makes angiotensin and aldosterone hormones. Angiotensin narrows or constricts blood vessels, which can lead to an increase in blood pressure. Aldosterone controls how the kidneys balance fluid and salt levels. Increased aldosterone levels or activity may change this kidney function, leading to increased blood volumes and high blood pressure. Sympathetic Nervous System Activity The sympathetic nervous system has important functions in blood pressure regulation, including heart rate, blood pressure, and breathing rate. Researchers are investigating whether imbalances in this system cause high blood pressure. Blood Vessel Structure and Function Changes in the structure and function of small and large arteries may contribute to high blood pressure. The angiotensin pathway and the immune system may stiffen small and large arteries, which can affect blood pressure. Genetic Causes High blood pressure often runs in families. Years of research have identified many genes and other mutations associated with high blood pressure. However, known genetic factors only account for 2 to 3 percent of all cases. Emerging research suggests that certain DNA changes before birth also may cause the development of high blood pressure later in life. Unhealthy Lifestyle Habits Unhealthy lifestyle habits can cause high blood pressure, including - high sodium intake and sodium sensitivity  - drinking too much alcohol  - lack of physical activity. high sodium intake and sodium sensitivity drinking too much alcohol lack of physical activity. Overweight and Obesity Research studies show that being overweight or obese can increase the resistance in the blood vessels, causing the heart to work harder and leading to high blood pressure. Medicines Prescription medicines such as asthma or hormone therapies (including birth control pills and estrogen) and over-the-counter medicines such as cold relief medicines may cause high blood pressure. This happens because medicines can - change the way your body controls fluid and salt balances  - cause your blood vessels to constrict  -  impact the renin-angiotensin-aldosterone system, leading to high blood pressure.  change the way your body controls fluid and salt balances cause your blood vessels to constrict impact the renin-angiotensin-aldosterone system, leading to high blood pressure. Other Causes Other causes of high blood pressure include medical conditions such as chronic kidney disease, sleep apnea, thyroid problems, or certain tumors. These conditions can change the way your body controls fluids, sodium, and hormones in your blood, which leads to secondary high blood pressure.",NIHSeniorHealth,High Blood Pressure
Who is at risk for High Blood Pressure? ?,"Not a Normal Part of Aging Nearly 1 in 3 American adults have high blood pressure. Many people get high blood pressure as they get older. However, getting high blood pressure is not a normal part of aging. There are things you can do to help keep your blood pressure normal, such as eating a healthy diet and getting more exercise. Risk Factors Anyone can develop high blood pressure. However, these factors can increase your risk for developing high blood pressure. -  age  - race or ethnicity  - being overweight  - gender  - lifestyle habits  - a family history of high blood pressure.  age race or ethnicity being overweight gender lifestyle habits a family history of high blood pressure. Age Blood pressure tends to rise with age. In fact, about 65 percent of Americans age 60 or older have high blood pressure. Race/Ethnicity High blood pressure is more common in African American adults than in Caucasian or Hispanic American adults. Compared with these ethnic groups, African Americans -  tend to get high blood pressure earlier in life  - often have higher blood pressure numbers  - are less likely to achieve target blood pressure goals with treatment. tend to get high blood pressure earlier in life often have higher blood pressure numbers are less likely to achieve target blood pressure goals with treatment. Overweight You are more likely to develop prehypertension or high blood pressure if youre overweight or obese. The terms overweight and obese refer to body weight thats greater than what is considered healthy for a certain height. Gender Before age 55, men are more likely than women to develop high blood pressure. After age 55, women are more likely than men to develop high blood pressure. Lifestyle Habits Unhealthy lifestyle habits can raise your risk for high blood pressure, and they include -  eating too much sodium or too little potassium   - lack of physical activity  - drinking too much alcohol  - smoking  - stress. eating too much sodium or too little potassium lack of physical activity drinking too much alcohol smoking stress. Family History A family history of high blood pressure raises the risk of developing prehypertension or high blood pressure. Some people have a high sensitivity to sodium and salt, which may increase their risk for high blood pressure and may run in families. Genetic causes of this condition are why family history is a risk factor for this condition.",NIHSeniorHealth,High Blood Pressure
How to prevent High Blood Pressure ?,"Steps You Can Take You can take steps to prevent high blood pressure by adopting these healthy lifestyle habits. - Follow a healthy eating plan.   - Be physically active.   - Maintain a healthy weight.  - If you drink alcoholic beverages, do so in moderation.   - Quit smoking.  - Learn to cope with and manage stress. Follow a healthy eating plan. Be physically active. Maintain a healthy weight. If you drink alcoholic beverages, do so in moderation. Quit smoking. Learn to cope with and manage stress. Follow a Healthy Eating Plan Follow a healthy eating plan that emphasizes fruits, vegetables, fat-free or low-fat milk and milk products, and whole grains, and that is low in saturated fat, cholesterol, and total fat. Eating this way is even more effective when you also reduce your sodium (salt) intake and calories. One such eating plan is called DASH. DASH stands for Dietary Approaches to Stop Hypertension. This is the name of a study sponsored by the National Institutes of Health that showed that this kind of eating plan can help you prevent and control high blood pressure. The study also showed that combining this kind of eating plan with cutting back on salt in your diet is even more effective at lowering your blood pressure. To learn more about DASH, see  Lowering Your Blood Pressure with DASH. Lower Your Salt Intake In general, the lower your salt intake, the lower your blood pressure. Older adults should limit their sodium intake to 2,300 milligrams (mg) daily. The key to reducing the amount of salt we eat is making wise food choices. Only a small amount of the salt that we eat comes from the salt shaker, and only small amounts occur naturally in food. Most of the salt that we eat comes from processed foods -- for example, canned or processed meat, baked goods, certain cereals, soy sauce, and foods that contain seasoned salts, monosodium glutamate (MSG), and baking soda. Food from fast food restaurants, frozen foods, and canned foods also tend to be higher in sodium. See tips to reduce salt in your diet. Read Food Labels Be sure to read food labels to choose products lower in salt. Look for foods and seasonings that are labeled as low-salt or ""no added salt."" Look for the sodium content in milligrams and the Percent Daily Value. Aim for foods that are less than 5 percent of the Daily Value of sodium. Foods with 20 percent or more Daily Value of sodium are considered high. To learn more about reading nutrition labels, see  Reading the Label. Be Physically Active  Regular physical activity can lower high blood pressure and reduce your risk for other health problems. Everyone should try to participate in moderate-intensity aerobic exercise at least 2 hours and 30 minutes per week, or vigorous-intensity aerobic exercise for 1 hour and 15 minutes per week. Aerobic exercise, such as brisk walking, is any exercise in which your heart beats harder and you use more oxygen than usual. The more active you are, the more you will benefit. Participate in aerobic exercise for at least 10 minutes at a time, spread throughout the week. (Watch the video to learn how exercise maintains healthy aging. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) Most people dont need to see a doctor before they start a moderate-level physical activity. You should check first with your doctor if you - have heart trouble or have had a heart attack   - are over age 50 and are not used to moderate-level physical activity  - have a family history of heart disease at an early age, or if you have any other serious health problem. have heart trouble or have had a heart attack are over age 50 and are not used to moderate-level physical activity have a family history of heart disease at an early age, or if you have any other serious health problem. See examples of exercises for older adults at Exercises to Try. For more on exercise and physical activity for older adults, visit Go4Life, the exercise and physical activity campaign from the National Institute on Aging. Maintain a Healthy Weight Maintaining a healthy weight can help you control high blood pressure and reduce your risk for other health problems. Blood pressure rises as body weight increases. Losing even 10 pounds can lower blood pressure -- and it has the greatest effect for those who are overweight and already have hypertension. A useful measure of overweight and obesity is body mass index (BMI). BMI measures your weight in relation to your height.  See the BMI calculator to determine your body mass index  or talk to your health care provider. A BMI -  below 18.5 is a sign that you are underweight.   - between 18.5 and 24.9 is in the healthy range.  - between 25 and 29.9 is considered overweight.  - of 30 or more is considered obese. below 18.5 is a sign that you are underweight. between 18.5 and 24.9 is in the healthy range. between 25 and 29.9 is considered overweight. of 30 or more is considered obese. A general goal to aim for is a BMI below 25. Your health care provider can help you set an appropriate BMI goal. Measuring waist circumference helps screen for possible health risks. If most of your fat is around your waist rather than at your hips, youre at a higher risk for heart disease and type 2 diabetes. This risk may be high with a waist size that is greater than 35 inches for women or greater than 40 inches for men. To learn how to measure your waist, visit  Assessing Your Weight and Health Risk. For more information about losing weight or maintaining your weight, see Aim for a Healthy Weight.  If You Drink  Drinking too much alcohol can raise your blood pressure. Alcohol also adds extra calories, which may cause weight gain. Men should have no more than two drinks a day, and women should have no more than one drink a day. If you drink and would like tips on how to cut back, watch the video ""How To Cut Back on Your Drinking."" (To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) See how drinking alcohol can affect you as you age. Don't Smoke Smoking injures blood vessel walls and speeds up the process of hardening of the arteries. It increases your chances of stroke, heart disease, peripheral arterial disease, and several forms of cancer. If you smoke, quit. If you don't smoke, don't start. Once you quit, your risk of having a heart attack is reduced after the first year. So you have a lot to gain by quitting. See how to start a smoking quit plan geared to older adults.",NIHSeniorHealth,High Blood Pressure
What are the symptoms of High Blood Pressure ?,"High blood pressure is often called the ""silent killer"" because you can have it for years without knowing it. The only way to find out if you have high blood pressure is to have your blood pressure measured. Complications When blood pressure stays high over time, it can damage the body and cause complications. Here are some of the common complications, along with their signs and symptoms. - Aneurysms.  These occur when an abnormal bulge forms in the wall of an artery. Aneurysms develop and grow for years without causing signs or symptoms until they rupture, grow large enough to press on nearby body parts, or block blood flow. The signs and symptoms that develop depend on the location of the aneurysm.  - Chronic Kidney Disease. This disease occurs when blood vessels narrow in the kidneys, possibly causing kidney failure.  - Cognitive Changes  Research shows that over time, higher blood pressure numbers can lead to cognitive changes. Signs and symptoms include memory loss, difficulty finding words, and losing focus during conversations.  - Eye Damage. This condition occurs when blood vessels in the eyes burst or bleed. Signs and symptoms include vision changes or blindness.  - Heart Attack. This occurs when the flow of oxygen-rich blood to a section of heart muscle suddenly becomes blocked and the heart doesnt get oxygen. The most common warning symptoms of a heart attack are chest pain or discomfort, upper body discomfort, and shortness of breath.  - Heart Failure. This condition occurs when the heart cant pump enough blood to meet the bodys needs. Common signs and symptoms of heart failure include shortness of breath or trouble breathing; feeling tired; and swelling in the ankles, feet, legs, abdomen, and veins in the neck.  - Peripheral Arterial Disease. This is a disease in which plaque builds up in leg arteries and affects blood flow in the legs. When people have symptoms, the most common are pain, cramping, numbness, aching, or heaviness in the legs, feet, and buttocks after walking or climbing stairs.  - Stroke. A stroke occurs when the flow of oxygen-rich blood to a portion of the brain is blocked. The symptoms of a stroke include sudden onset of weakness; paralysis or numbness of the face, arms, or legs; trouble speaking or understanding speech; and trouble seeing.  Aneurysms.  These occur when an abnormal bulge forms in the wall of an artery. Aneurysms develop and grow for years without causing signs or symptoms until they rupture, grow large enough to press on nearby body parts, or block blood flow. The signs and symptoms that develop depend on the location of the aneurysm. Chronic Kidney Disease. This disease occurs when blood vessels narrow in the kidneys, possibly causing kidney failure. Cognitive Changes  Research shows that over time, higher blood pressure numbers can lead to cognitive changes. Signs and symptoms include memory loss, difficulty finding words, and losing focus during conversations. Eye Damage. This condition occurs when blood vessels in the eyes burst or bleed. Signs and symptoms include vision changes or blindness. Heart Attack. This occurs when the flow of oxygen-rich blood to a section of heart muscle suddenly becomes blocked and the heart doesnt get oxygen. The most common warning symptoms of a heart attack are chest pain or discomfort, upper body discomfort, and shortness of breath. Heart Failure. This condition occurs when the heart cant pump enough blood to meet the bodys needs. Common signs and symptoms of heart failure include shortness of breath or trouble breathing; feeling tired; and swelling in the ankles, feet, legs, abdomen, and veins in the neck. Peripheral Arterial Disease. This is a disease in which plaque builds up in leg arteries and affects blood flow in the legs. When people have symptoms, the most common are pain, cramping, numbness, aching, or heaviness in the legs, feet, and buttocks after walking or climbing stairs. Stroke. A stroke occurs when the flow of oxygen-rich blood to a portion of the brain is blocked. The symptoms of a stroke include sudden onset of weakness; paralysis or numbness of the face, arms, or legs; trouble speaking or understanding speech; and trouble seeing. How Blood Pressure Is Checked Your health care provider usually takes 23 readings at several medical appointments to diagnose high blood pressure. Based on the results of your blood pressure test, your health care provider will diagnose prehypertension or high blood pressure if your systolic or diastolic readings are consistently higher than 120/80 mmHg. Once your health care provider determines the severity of your blood pressure, he or she can order additional tests to determine if your blood pressure is due to other conditions or medicines or if you have primary high blood pressure. Health care providers can use this information to develop your treatment plan. Some people have white coat hypertension. This happens when blood pressure readings are only high when taken in a health care providers office compared with readings taken in any other location. Researchers believe stress, which can occur during the medical appointment, causes white coat hypertension. Preparing for the Test A blood pressure test is easy and painless and can be done in a health care providers office or clinic. To prepare for the test - dont drink coffee or smoke cigarettes for 30 minutes prior to the test   - go to the bathroom before the test. A full bladder can change the reading   - sit for 5 minutes before the test. dont drink coffee or smoke cigarettes for 30 minutes prior to the test go to the bathroom before the test. A full bladder can change the reading sit for 5 minutes before the test. To track blood pressure readings over a period of time, the health care provider may ask you to come into the office on different days and at different times to take your blood pressure. The health care provider also may ask you to check readings at home or at other locations that have blood pressure equipment and to keep a written log of all your results. Whenever you have an appointment with the health care provider, be sure to bring your log of blood pressure readings. Ask the doctor or nurse to tell you your blood pressure reading in numbers and to explain what the numbers mean. Write down your numbers or ask the doctor or nurse to write them down for you. Write Down Your Readings Ask the doctor or nurse to tell you your blood pressure reading in numbers and to explain what the numbers mean. Write down your numbers or ask the doctor or nurse to write them down for you. (The wallet card on the right can be printed out and used to record your blood pressure numbers.) Checking Your Own Blood Pressure You can also check your blood pressure at home with a home blood pressure measurement device or monitor. It is important that the blood pressure cuff fits you properly and that you understand how to use the monitor. A cuff that is too small, for example, can give you a reading that is higher than your actual blood pressure. Your doctor, nurse, or pharmacist can help you check the cuff size and teach you how to use it correctly. You may also ask for their help in choosing the right blood pressure monitor for you. Blood pressure monitors can be bought at discount chain stores and drug stores. When you are taking your blood pressure at home, sit with your back supported and your feet flat on the floor. Rest your arm on a table at the level of your heart. After a Diagnosis If you're diagnosed with high blood pressure, your doctor will prescribe treatment. Your blood pressure will be tested again to see how the treatment affects it. Once your blood pressure is under control, you'll still need treatment. ""Under control"" means that your blood pressure numbers are in the normal range. Your doctor will likely recommend routine blood pressure tests. He or she can tell you how often you should be tested. The sooner you find out about high blood pressure and treat it, the better. Early treatment may help you avoid problems such as heart attack, stroke and kidney failure. See tips for talking with your doctor after you receive a medical diagnosis.",NIHSeniorHealth,High Blood Pressure
What is (are) High Blood Pressure ?,"Blood pressure is the force of blood pushing against the walls of the blood vessels as the heart pumps blood. If your blood pressure rises and stays high over time, its called high blood pressure. High blood pressure is dangerous because it makes the heart work too hard, and the high force of the blood flow can harm arteries and organs such as the heart, kidneys, brain, and eyes.",NIHSeniorHealth,High Blood Pressure
What is (are) High Blood Pressure ?,"Normal blood pressure for adults is defined as a systolic pressure below 120 mmHg and a diastolic pressure below 80 mmHg. It is normal for blood pressures to change when you sleep, wake up, or are excited or nervous. When you are active, it is normal for your blood pressure to increase. However, once the activity stops, your blood pressure returns to your normal baseline range. Blood pressure normally rises with age and body size. Newborn babies often have very low blood pressure numbers that are considered normal for babies, while older teens have numbers similar to adults.",NIHSeniorHealth,High Blood Pressure
What is (are) High Blood Pressure ?,"High blood pressure is a common disease in which blood flows through blood vessels (arteries) at higher than normal pressures. There are two main types of high blood pressure: primary and secondary high blood pressure. Primary, or essential, high blood pressure is the most common type of high blood pressure. This type of high blood pressure tends to develop over years as a person ages. Secondary high blood pressure is caused by another medical condition or use of certain medicines. This type usually resolves after the cause is treated or removed.",NIHSeniorHealth,High Blood Pressure
What is (are) High Blood Pressure ?,"Abnormal blood pressure is higher than 120/80 mmHg. If either your systolic or diastolic blood pressure is higher than normal (120/80) but not high enough to be considered high blood pressure (140/90), you have pre-hypertension. Pre-hypertension is a top number between 120 and 139 or a bottom number between 80 and 89 mmHg. For example, blood pressure readings of 138/82, 128/70, or 115/86 are all in the ""pre-hypertension"" range. (Click the table on the right to see the stages of high blood pressure in adults.) The ranges in the table are blood pressure guides for adults who do not have any short-term serious illnesses. People with diabetes or chronic kidney disease should keep their blood pressure below 130/80 mmHg.",NIHSeniorHealth,High Blood Pressure
How to prevent High Blood Pressure ?,"You can take steps to help prevent high blood pressure by adopting these healthy lifestyle habits. - Follow a healthy eating plan like DASH (Dietary Approaches to Stop Hypertension), which emphasizes fruits, vegetables, fat-free and low-fat milk and milk products, and whole grains, fish, poultry, beans, seeds, and nuts, and choose and prepare foods with less sodium (salt). See how the  DASH diet (Dietary Approaches to Stop Hypertension) can help with blood pressure control. Follow a healthy eating plan like DASH (Dietary Approaches to Stop Hypertension), which emphasizes fruits, vegetables, fat-free and low-fat milk and milk products, and whole grains, fish, poultry, beans, seeds, and nuts, and choose and prepare foods with less sodium (salt). See how the  DASH diet (Dietary Approaches to Stop Hypertension) can help with blood pressure control.  - Be physically active for at least 2 and one-half hours a week. Check out  Exercises to Try for older adults, or visit  Go4Life, the exercise and physical activity campaign from the National Institute on Aging. (Watch the video to learn how exercise helps maintain healthy aging. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)  Be physically active for at least 2 and one-half hours a week. Check out  Exercises to Try for older adults, or visit  Go4Life, the exercise and physical activity campaign from the National Institute on Aging. (Watch the video to learn how exercise helps maintain healthy aging. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) - Maintain a healthy weight and lose weight if you are overweight or obese. Body mass index (BMI) and waist circumference are measures used to determine if someone is overweight or obese.  See the BMI calculator to determine your body mass index.  Maintain a healthy weight and lose weight if you are overweight or obese. Body mass index (BMI) and waist circumference are measures used to determine if someone is overweight or obese.  See the BMI calculator to determine your body mass index. - If you drink alcoholic beverages, do so in moderation: no more than one drink a day for women, no more than two drinks a day for men.  If you drink alcoholic beverages, do so in moderation: no more than one drink a day for women, no more than two drinks a day for men. - Quit smoking, or don't start smoking. To get help quitting, call 1 (800) QUIT-NOW or check out  Quitting Smoking for Older Adults. Quit smoking, or don't start smoking. To get help quitting, call 1 (800) QUIT-NOW or check out  Quitting Smoking for Older Adults. - Learn to manage stress. Learn about relaxation techniques that may relieve tension.   Learn to manage stress. Learn about relaxation techniques that may relieve tension.",NIHSeniorHealth,High Blood Pressure
How to diagnose High Blood Pressure ?,"If you are diagnosed with high blood pressure, here are questions to ask your doctor. -   Your Blood Pressure Numbers       - What is my blood pressure reading in numbers?    - What is my goal blood pressure?    - Is my blood pressure under adequate control?    - Is my systolic pressure too high (over 140)?      Your Blood Pressure Numbers     - What is my blood pressure reading in numbers?   - What is my goal blood pressure?   - Is my blood pressure under adequate control?   - Is my systolic pressure too high (over 140)?   - What is my blood pressure reading in numbers?  - What is my goal blood pressure?  - Is my blood pressure under adequate control?  - Is my systolic pressure too high (over 140)? What is my blood pressure reading in numbers? What is my goal blood pressure? Is my blood pressure under adequate control? Is my systolic pressure too high (over 140)? -   Healthy Lifestyle Habits       - What would be a healthy weight for me?    - Is there a diet to help me lose weight (if I need to) and lower my blood pressure?    - Is there a recommended healthy eating plan I should follow to help lower my blood pressure (if I dont need to lose weight)?    - Is it safe for me to start doing regular physical activity?      Healthy Lifestyle Habits     - What would be a healthy weight for me?   - Is there a diet to help me lose weight (if I need to) and lower my blood pressure?   - Is there a recommended healthy eating plan I should follow to help lower my blood pressure (if I dont need to lose weight)?   - Is it safe for me to start doing regular physical activity?   - What would be a healthy weight for me?  - Is there a diet to help me lose weight (if I need to) and lower my blood pressure?  - Is there a recommended healthy eating plan I should follow to help lower my blood pressure (if I dont need to lose weight)?  - Is it safe for me to start doing regular physical activity? What would be a healthy weight for me? Is there a diet to help me lose weight (if I need to) and lower my blood pressure? Is there a recommended healthy eating plan I should follow to help lower my blood pressure (if I dont need to lose weight)? Is it safe for me to start doing regular physical activity? -   Medications       - What is the name of my blood pressure medication?     - Is that the brand name or the generic name?    - What are the possible side effects of my medication? (Be sure the doctor knows about any allergies you have and any other medications you are taking, including over-the-counter drugs, vitamins, and dietary supplements.)    - What time of day should I take my blood pressure medicine?    - Are there any foods, beverages, or dietary supplements I should avoid when taking this medicine?    - What should I do if I forget to take my blood pressure medicine at the recommended time? Should I take it as soon as I remember or should I wait until the next dosage is due?      Medications     - What is the name of my blood pressure medication?    - Is that the brand name or the generic name?   - What are the possible side effects of my medication? (Be sure the doctor knows about any allergies you have and any other medications you are taking, including over-the-counter drugs, vitamins, and dietary supplements.)   - What time of day should I take my blood pressure medicine?   - Are there any foods, beverages, or dietary supplements I should avoid when taking this medicine?   - What should I do if I forget to take my blood pressure medicine at the recommended time? Should I take it as soon as I remember or should I wait until the next dosage is due?   - What is the name of my blood pressure medication?   - Is that the brand name or the generic name?  - What are the possible side effects of my medication? (Be sure the doctor knows about any allergies you have and any other medications you are taking, including over-the-counter drugs, vitamins, and dietary supplements.)  - What time of day should I take my blood pressure medicine?  - Are there any foods, beverages, or dietary supplements I should avoid when taking this medicine?  - What should I do if I forget to take my blood pressure medicine at the recommended time? Should I take it as soon as I remember or should I wait until the next dosage is due? What is the name of my blood pressure medication? Is that the brand name or the generic name? What are the possible side effects of my medication? (Be sure the doctor knows about any allergies you have and any other medications you are taking, including over-the-counter drugs, vitamins, and dietary supplements.) What time of day should I take my blood pressure medicine? Are there any foods, beverages, or dietary supplements I should avoid when taking this medicine? What should I do if I forget to take my blood pressure medicine at the recommended time? Should I take it as soon as I remember or should I wait until the next dosage is due?",NIHSeniorHealth,High Blood Pressure
